cveID,vendorProject,product,vulnerabilityName,dateAdded,dueDate,knownRansomwareCampaignUse,cwes
CVE-2026-20182,Cisco,Catalyst SD-WAN,Cisco Catalyst SD-WAN Controller Authentication Bypass Vulnerability,2026-05-14,2026-05-17,Unknown,CWE-287
CVE-2026-42208,BerriAI,LiteLLM,BerriAI LiteLLM SQL Injection Vulnerability,2026-05-08,2026-05-11,Unknown,CWE-89
CVE-2026-6973,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Improper Input Validation Vulnerability,2026-05-07,2026-05-10,Unknown,CWE-20
CVE-2026-0300,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability,2026-05-06,2026-05-09,Unknown,CWE-787
CVE-2026-31431,Linux,Kernel,Linux Kernel Incorrect Resource Transfer Between Spheres Vulnerability,2026-05-01,2026-05-15,Unknown,CWE-669
CVE-2026-41940,WebPros,cPanel & WHM and WP2 (WordPress Squared),WebPros cPanel & WHM and WP2 (WordPress Squared) Missing Authentication for Critical Function Vulnerability,2026-04-30,2026-05-03,Known,CWE-306
CVE-2024-1708,ConnectWise,ScreenConnect,ConnectWise ScreenConnect Path Traversal Vulnerability,2026-04-28,2026-05-12,Known,CWE-22
CVE-2026-32202,Microsoft,Windows,Microsoft Windows Protection Mechanism Failure Vulnerability,2026-04-28,2026-05-12,Unknown,CWE-693
CVE-2025-29635,D-Link,DIR-823X,D-Link DIR-823X Command Injection Vulnerability,2026-04-24,2026-05-08,Unknown,CWE-77
CVE-2024-7399,Samsung,MagicINFO 9 Server,Samsung MagicINFO 9 Server Path Traversal Vulnerability,2026-04-24,2026-05-08,Unknown,CWE-22|CWE-434
CVE-2024-57728,SimpleHelp ,SimpleHelp,SimpleHelp Path Traversal Vulnerability,2026-04-24,2026-05-08,Known,CWE-22
CVE-2024-57726,SimpleHelp ,SimpleHelp,SimpleHelp Missing Authorization Vulnerability,2026-04-24,2026-05-08,Known,CWE-862
CVE-2026-39987,Marimo,Marimo,Marimo Remote Code Execution Vulnerability,2026-04-23,2026-05-07,Unknown,CWE-306
CVE-2026-33825,Microsoft,Defender,Microsoft Defender Insufficient Granularity of Access Control Vulnerability,2026-04-22,2026-05-06,Known,CWE-1220
CVE-2026-20122,Cisco,Catalyst SD-WAN Manger,Cisco Catalyst SD-WAN Manager Incorrect Use of Privileged APIs Vulnerability,2026-04-20,2026-04-23,Unknown,CWE-648
CVE-2026-20133,Cisco,Catalyst SD-WAN Manager,Cisco Catalyst SD-WAN Manager Exposure of Sensitive Information to an Unauthorized Actor Vulnerability,2026-04-20,2026-04-23,Unknown,CWE-200
CVE-2025-2749,Kentico,Kentico Xperience,Kentico Xperience Path Traversal Vulnerability,2026-04-20,2026-05-04,Unknown,CWE-22|CWE-434
CVE-2023-27351,PaperCut,NG/MF,PaperCut NG/MF Improper Authentication Vulnerability,2026-04-20,2026-05-04,Known,CWE-287
CVE-2025-48700,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-site Scripting Vulnerability,2026-04-20,2026-04-23,Unknown,CWE-79
CVE-2026-20128,Cisco,Catalyst SD-WAN Manager,Cisco Catalyst SD-WAN Manager Storing Passwords in a Recoverable Format Vulnerability,2026-04-20,2026-04-23,Unknown,CWE-257
CVE-2025-32975,Quest,KACE Systems Management Appliance (SMA),Quest KACE Systems Management Appliance (SMA) Improper Authentication Vulnerability,2026-04-20,2026-05-04,Unknown,CWE-287
CVE-2024-27199,JetBrains,TeamCity,JetBrains TeamCity Relative Path Traversal Vulnerability,2026-04-20,2026-05-04,Known,CWE-23
CVE-2026-34197,Apache,ActiveMQ,Apache ActiveMQ Improper Input Validation Vulnerability,2026-04-16,2026-04-30,Unknown,CWE-20|CWE-94
CVE-2009-0238,Microsoft,Office,Microsoft Office Remote Code Execution,2026-04-14,2026-04-28,Unknown,CWE-94
CVE-2026-32201,Microsoft,SharePoint Server,Microsoft SharePoint Server Improper Input Validation Vulnerability,2026-04-14,2026-04-28,Unknown,CWE-20
CVE-2012-1854,Microsoft,Visual Basic for Applications (VBA),Microsoft Visual Basic for Applications Insecure Library Loading Vulnerability,2026-04-13,2026-04-27,Unknown,CWE-426
CVE-2025-60710,Microsoft,Windows,Microsoft Windows Link Following Vulnerability,2026-04-13,2026-04-27,Unknown,CWE-59
CVE-2023-21529,Microsoft,Exchange Server,Microsoft Exchange Server Deserialization of Untrusted Data Vulnerability,2026-04-13,2026-04-27,Known,CWE-502
CVE-2023-36424,Microsoft,Windows,Microsoft Windows Out-of-Bounds Read Vulnerability,2026-04-13,2026-04-27,Unknown,CWE-125
